name,slug,type,ownership,street,postal_code,neighborhood,city_slug,city_name,phone,email,website,age_min_months,age_max_months,schedule,services,short_description,source_url,notes
Escola Bressol Municipal El Roure,escola-bressol-municipal-el-roure-barcelona,escuela-infantil,publico,"Comte d'Urgell, 145",08011,,barcelona,Barcelona,934531731,ebmelroure@bcn.cat,http://barcelona.cat/ebmelroure,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal El Roure es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal El Tren de Fort Pienc,escola-bressol-municipal-el-tren-de-fort-pienc-barcelona,escuela-infantil,publico,"Plaça de Fort Pienc, 5",08013,,barcelona,Barcelona,932451131,ebmeltrendefortpienc@bcn.cat,http://barcelona.cat/ebmeltrendelfortpienc,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal El Tren de Fort Pienc es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Els Tres Tombs,escola-bressol-municipal-els-tres-tombs-barcelona,escuela-infantil,publico,"Manso, 28 bis",08015,,barcelona,Barcelona,933250913,ebmelstrestombs@bcn.cat,http://barcelona.cat/ebmelstrestombs,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Els Tres Tombs es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal L'Arbret de l'Eixample,escola-bressol-municipal-larbret-de-leixample-barcelona,escuela-infantil,publico,"Avinguda de Roma, 102",08015,,barcelona,Barcelona,934512574,ebmlarbretdeleixample@bcn.cat,http://barcelona.cat/ebmlarbretdeleixample,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal L'Arbret de l'Eixample es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Germanetes,escola-bressol-municipal-germanetes-barcelona,escuela-infantil,publico,"Comte Borrell, 159",08015,,barcelona,Barcelona,937065111,ebmgermanetes@bcn.cat,http://barcelona.cat/ebmgermanetes,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Germanetes es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal La Fassina,escola-bressol-municipal-la-fassina-barcelona,escuela-infantil,publico,"Nàpols, 244",08013,,barcelona,Barcelona,934587110,ebmlafassina@bcn.cat,http://barcelona.cat/ebmlafassina,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal La Fassina es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Leonor Serrano,escola-bressol-municipal-leonor-serrano-barcelona,escuela-infantil,publico,"Cartagena, 159",08013,,barcelona,Barcelona,937060459,ebmleonorserrano@bcn.cat,http://barcelona.cat/ebmleonorserrano,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Leonor Serrano es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Londres,escola-bressol-municipal-londres-barcelona,escuela-infantil,publico,"Londres, 56",08036,,barcelona,Barcelona,934108337,ebmlondres@bcn.cat,http://barcelona.cat/ebmlondres,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Londres es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de l'Eixample, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Bellmunt,escola-bressol-municipal-bellmunt-barcelona,escuela-infantil,publico,"Font Florida, 93",08004,,barcelona,Barcelona,933325945,ebmbellmunt@bcn.cat,http://barcelona.cat/ebmbellmunt,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Bellmunt es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Collserola,escola-bressol-municipal-collserola-barcelona,escuela-infantil,publico,"Mare de Déu de Port, 183 bis",08038,,barcelona,Barcelona,932233093,ebmcollserola@bcn.cat,http://barcelona.cat/ebmcollserola,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Collserola es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal El Cotxet,escola-bressol-municipal-el-cotxet-barcelona,escuela-infantil,publico,"Platí, 8",08038,,barcelona,Barcelona,932965910,ebmelcotxet@bcn.cat,http://barcelona.cat/ebmelcotxet,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal El Cotxet es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal El Fil,escola-bressol-municipal-el-fil-barcelona,escuela-infantil,publico,"Nicaragua, 45",08029,,barcelona,Barcelona,934102886,ebmelfil@bcn.cat,http://barcelona.cat/ebmelfil,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal El Fil es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal El Timbal,escola-bressol-municipal-el-timbal-barcelona,escuela-infantil,publico,"Guitard, 23",08014,,barcelona,Barcelona,934904342,ebmeltimbal@bcn.cat,http://barcelona.cat/ebmeltimbal,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal El Timbal es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Els Gats,escola-bressol-municipal-els-gats-barcelona,escuela-infantil,publico,"Roger, 48",08028,,barcelona,Barcelona,936114017,ebmelsgats@bcn.cat,http://barcelona.cat/ebmelsgats,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Els Gats es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Forestier,escola-bressol-municipal-forestier-barcelona,escuela-infantil,publico,"Segons Jocs Mediterranis, 2",08004,,barcelona,Barcelona,934230733,ebmforestier@bcn.cat,http://barcelona.cat/ebmforestier,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Forestier es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Guinbó,escola-bressol-municipal-guinbo-barcelona,escuela-infantil,publico,"Olzinelles, 73",08014,,barcelona,Barcelona,933322341,ebmguinbo@bcn.cat,http://barcelona.cat/ebmguinbo,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Guinbó es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal L'Esquirol,escola-bressol-municipal-lesquirol-barcelona,escuela-infantil,publico,"Noguera Pallaresa, 32",08014,,barcelona,Barcelona,933329950,ebmlesquirol@bcn.cat,http://barcelona.cat/ebmesquirol,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal L'Esquirol es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Nic,escola-bressol-municipal-nic-barcelona,escuela-infantil,publico,"Passeig de de l'Exposició, 1",08004,,barcelona,Barcelona,934438297,ebmnic@bcn.cat,http://barcelona.cat/ebmnic,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Nic es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Niu d'Infants,escola-bressol-municipal-niu-dinfants-barcelona,escuela-infantil,publico,"Pedrera del Mussol, 10",08038,,barcelona,Barcelona,933312565,ebmniudinfants@bcn.cat,http://barcelona.cat/ebmniuinfants,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Niu d'Infants es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Pau,escola-bressol-municipal-pau-barcelona,escuela-infantil,publico,"Muntadas, 1",08014,,barcelona,Barcelona,933324197,ebmpau@bcn.cat,http://barcelona.cat/ebmpau,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Pau es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Sants-Montjuïc, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Can Bacardí,escola-bressol-municipal-can-bacardi-barcelona,escuela-infantil,publico,"Travessera de les Corts, 94",08028,,barcelona,Barcelona,933340006,ebmcanbacardi@bcn.cat,http://barcelona.cat/ebmcanbacardi,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Can Bacardí es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Les Corts, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Can Bruixa,escola-bressol-municipal-can-bruixa-barcelona,escuela-infantil,publico,"Vallespir, 196",08014,,barcelona,Barcelona,934914817,ebmcanbruixa@bcn.cat,http://barcelona.cat/ebmcanbruixa,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Can Bruixa es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Les Corts, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Can Novell,escola-bressol-municipal-can-novell-barcelona,escuela-infantil,publico,"Evarist Arnús, 6",08028,,barcelona,Barcelona,934902408,ebmcannovell@bcn.cat,http://barcelona.cat/ebmcannovell,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Can Novell es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Les Corts, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
Escola Bressol Municipal Can Rosés,escola-bressol-municipal-can-roses-barcelona,escuela-infantil,publico,"Déu i Mata, 57",08029,,barcelona,Barcelona,930012664,ebmcanroses@bcn.cat,http://barcelona.cat/ebmcanroses,0,36,Lunes a viernes de 8:00 a 17:00 (8:00 a 15:00 en septiembre y julio),comedor;cocina-propia,"Escola Bressol Municipal Can Rosés es una escuela infantil de titularidad pública (Escola Bressol Municipal) situada en el distrito de Les Corts, Barcelona. Depende del Institut Municipal d'Educació de Barcelona (IMEB) y atiende el primer ciclo de educación infantil (0 a 3 años). Dispone de comedor con cocina propia y horario de 8:00 a 17:00 h. El acceso se realiza mediante el proceso de preinscripción municipal.",https://ajuntament.barcelona.cat/escolesbressol/sites/default/files/llistat_ebm_curs_2026_2027_def.pdf,
