PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
5632789;"Escuela infantil municipal El Bateo";"";"";"Educación de 0 a 3 años";"METRO: El Capricho BUS: 101, 114, 115, 151";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16ec2739d73b7210VgnVCM2000000c205a0aRCRD";"PINOS DE OSUNA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28042";"1";"ALAMEDA DE OSUNA";"21";"BARAJAS";"449787";"4478001";"40.45115316018945";"-3.5921656725702142";"917 414 436";"";"eielbateo@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
172970;"Escuela infantil municipal El Bosque";"";"";"Horario ampliado. Comedor.";"METRO: Palos de la Frontera BUS: 6 , 8 , 19 , 27 , 45 , 47 , 55 , 59 , 85 , 86 , 102 , 247 CERCANÍAS RENFE: Atocha";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c40ce0e1f181c010VgnVCM1000000b205a0aRCRD";"DELICIAS";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28045";"6";"PALOS DE MOGUER";"2";"ARGANZUELA";"441090";"4473078";"40.4043520221113";"-3.695544214066272";"915 271 590";"";"eielbosque@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5633412;"Escuela infantil municipal El Caserío";"";"";"Educación de 0 a 3 años";"BUS: 310, 136, 10, 103";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b381ec1fe3b7210VgnVCM2000000c205a0aRCRD";"MARIA TERESA ROBLEDO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28018";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"444170";"4470964";"40.3873926648154";"-3.6577856265450226";"913 808 654";"";"eielcaserio@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
100359;"Escuela infantil municipal El Duende";"";"";"Horario ampliado. Comedor.";"METRO: Tribunal BUS: 3 , 21 , 40 , 147 , 149";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db458899fc81c010VgnVCM1000000b205a0aRCRD";"PALMA";"CALLE";"V";"36";"";"";"";"";"MADRID";"MADRID";"28004";"5";"UNIVERSIDAD";"1";"CENTRO";"440202";"4475331";"40.42646911249971";"-3.7049381572879123";"915 235 187";"";"eielduende@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
10936384;"Escuela infantil municipal El Fresno";"";"";"Horario ampliado Comedor";"Transporte más próximo:     METRO:  Pitis, Arroyofresno, Mirasierra   BUS:  49, 64, 82   CERCANÍAS: C3, C8 y C7";"ENSEÑANZA: Educación Infantil (primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ad8760f1be4a610VgnVCM1000001d4a900aRCRD";"SENDA DEL INFANTE";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28049";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438502";"4482814";"40.493754014053536";"-3.7257050333315007";"918 441 977";"";"eielfresno@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
58242;"Escuela infantil municipal El Lirón";"";"";"Horario ampliado. Comedor. Planes de mejora.";"METRO: Artilleros BUS: 8 , 20 , 30 , 71 , 100";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=713e8ed67151c010VgnVCM2000000c205a0aRCRD";"PICO DE LOS ARTILLEROS";"CALLE";"V";"123";"";"";"";"";"MADRID";"MADRID";"28030";"5";"FONTARRON";"14";"MORATALAZ";"445474";"4472525";"40.40154142411511";"-3.642568350981219";"913 712 712";"";"eielliron@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
10888967;"Escuela infantil municipal El Mamut";"";"";"Horario ampliado. Comedor.";"BUS: 85, 123";"Educación infantil (primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c47152fb94cd8610VgnVCM1000001d4a900aRCRD";"GANADOS DEL SALOBRAL";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28021";"3";"BUTARQUE";"17";"VILLAVERDE";"442442";"4465434";"40.33746780068778";"-3.6776394947920563";"917 230 000";"";"eielmamut@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
4552951;"Escuela infantil municipal El Manantial";"";"";"Educación de 0 a 3 años";"METRO: Laguna BUS: 31 , 119 , 138 RENFE: Laguna";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c1011d02d25d1110VgnVCM1000000b205a0aRCRD";"CARLOS FUENTES";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28047";"1";"LOS CARMENES";"10";"LATINA";"436850";"4472730";"40.40278783515925";"-3.7441981544259706";"914 640 597";"";"eielmanantial@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5981488;"Escuela infantil municipal El Olivar";"";"";"Horario ampliado Comedor";"METRO: Lavapiés, Antón Martín  BUS: M1, 6, 26, 32";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b524df71cea7e210VgnVCM1000000b205a0aRCRD";"OLIVAR";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28012";"2";"EMBAJADORES";"1";"CENTRO";"440476";"4473453";"40.40955901220526";"-3.7015495991222993";"915 306 631";"";"eielolivar@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5072;"Escuela infantil municipal El Rocío";"";"";"Horario ampliado. Comedor.";"Bus: 131, 22, 86, 130  Renfe: Puente Alcocer";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fad13db5b71c010VgnVCM1000000b205a0aRCRD";"CARABANCHEL A VILLAVERDE";"CARRETERA";"V";"107";"";"";"";"";"MADRID";"MADRID";"28041";"";"SAN ANDRES";"";"VILLAVERDE";"439987";"4466953";"40.3509775884553";"-3.7066886127927585";"911 344 949";"";"eielrocio@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5039;"Escuela infantil municipal El Sol";"";"";"Horario ampliado. Comedor.";"BUS: 7 , 11 , 40 , 52";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afaea4ea6871c010VgnVCM1000000b205a0aRCRD";"ENRIQUE JARDIEL PONCELA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"443168";"4479132";"40.46091554103502";"-3.670320512563348";"913 532 642 / 919 241 542";"";"eielsol@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
12683273;"Escuela infantil municipal El Sol de las Letras";"Apertura prevista para enero de 2026, quedando condicionada a la terminación de las obras.";"";"";"";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98010a4dc80f4910VgnVCM1000001d4a900aRCRD";"DESAMPARADOS";"COSTANILLA";"V";"15";"";"";"";"";"MADRID";"MADRID";"28014";"3";"CORTES";"1";"CENTRO";"440896";"4473721";"40.41201484533784";"-3.696612085925128";"608 531 727";"";"eifucar@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
10888974;"Escuela infantil municipal El Tren de Arganda";"";"";"Horario ampliado. Comedor.";"Transporte más próximo:    METRO: Sainz de Baranda.    BUS: 30, 56, 143, 156";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=677352fb94cd8610VgnVCM1000001d4a900aRCRD";"DOCTOR LAGUNA";"PLAZA";"V";"11";"";"";"";"";"MADRID";"MADRID";"28009";"6";"NIÑO JESUS";"3";"RETIRO";"442894";"4474005";"40.41471562186326";"-3.673091236764771";"690 180 359";"";"eitrendearganda@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion"
10889333;"Escuela infantil municipal Elena Fortún";"";"";"Horario ampliado Comedor";"METRO: Montecarmelo BUS: 134, 178";"ENSEÑANZA: Educación Infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=db2ccb4d6c0e8610VgnVCM2000001f4a900aRCRD";"MONASTERIO DE SILOS";"AVENIDA";"V";"57";"";"";"";"";"MADRID";"MADRID";"28049";"8";"EL GOLOSO";"8";"FUENCARRAL-EL PARDO";"440955";"4483984";"40.504469655013494";"-3.6968720755393782";"914 681 749";"";"eimontecarmelo@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
8226010;"Escuela infantil municipal Escuelas de San Antón";"";"";"Horario ampliado Comedor.";"Bus: 3, 37, 40, 149  Metro: Chueca, Tribunal";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae3e5438c4e10510VgnVCM1000000b205a0aRCRD";"FARMACIA";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440722";"4475029";"40.42378301276458";"-3.6987856754744657";"915 325 557";"";"eiesananton@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5633199;"Escuela infantil municipal Fernando el Católico";"";"";"Horario ampliado - Comedor";"METRO: Quevedo BUS: 16, 61, 2, 202";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f87b0dde9b3b7210VgnVCM2000000c205a0aRCRD";"FERNANDO EL CATOLICO";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28015";"2";"ARAPILES";"7";"CHAMBERI";"439802";"4476182";"40.434103689530446";"-3.7097392943348284";"914 456 792";"";"eifernandoelcatolico@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5633259;"Escuela infantil municipal Gigantes y Cabezudos";"";"";"Horario ampliado - Comedor";"METRO: Avenida de La Paz BUS: 53, 9, 72, 73, 120";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=401e0dde9b3b7210VgnVCM2000000c205a0aRCRD";"RAFAEL BERGAMIN";"CALLE";"V";"28";"";"";"";"";"MADRID";"MADRID";"28043";"6";"SAN JUAN BAUTISTA";"15";"CIUDAD LINEAL";"444040";"4477978";"40.450578924722464";"-3.6599344009125048";"661 577 952";"";"eigigantesycabezudos@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
58239;"Escuela infantil municipal Hiedra";"";"";"Comedor.";"METRO: Simancas BUS: 38 , 48";"ENSEÑANZA: Educación Infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c75e8ed67151c010VgnVCM2000000c205a0aRCRD";"AMPOSTA";"CALLE";"S/N";"34";"";"";"";"";"MADRID";"MADRID";"28037";"4";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"447469";"4474881";"40.42289407876372";"-3.6192425284922436";"913 062 533";"";"eihiedra@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
11647681;"Escuela infantil municipal José Gómez Gil";"";"";"Horario ampliado Comedor";"Transporte más próximo:     METRO:  Las Suertes / Valdecarros   BUS:  142, 145";"ENSEÑANZA: Educación Infantil (primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e085e95a4b4ef710VgnVCM1000001d4a900aRCRD";"EMBALSE DE PINILLA";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28051";"3";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"449332";"4467699";"40.35832412722327";"-3.596702462592952";"913 307 326";"";"eivilladevallecas@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5633447;"Escuela infantil municipal La Alegría de la Huerta";"";"";"Horario ampliado - Comedor Educación de 0 a 3 años";"BUS: 38, 140, 153";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dbc1ec1fe3b7210VgnVCM2000000c205a0aRCRD";"HELSINKI";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28022";"5";"ROSAS";"20";"SAN BLAS-CANILLEJAS";"448879";"4475042";"40.4244413057318";"-3.602635166157978";"913 241 772";"";"eialegriadelahuerta@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
10904841;"Escuela infantil municipal La Ardilla";"";"";"Horario ampliado. Comedor.";"";"Escuela infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f958fb0b31849610VgnVCM1000001d4a900aRCRD";"PRINCIPE CARLOS (C/V PINTOR IGNACIO ZULOAGA)";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28050";"6";"VALDEFUENTES";"16";"HORTALEZA";"444758";"4481887";"40.48584075407322";"-3.651798143659265";"673 614 692";"";"eilaardilla@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
10888979;"Escuela infantil municipal La Bola de Cristal";"";"";"Horario ampliado. Comedor";"METRO: Antonio Machado y Valdezarza.     BUS: 126, 127, 132";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=695552fb94cd8610VgnVCM1000001d4a900aRCRD";"ISLAS BISAGOS";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28039";"4";"VALDEZARZA";"9";"MONCLOA-ARAVACA";"439330";"4479915";"40.46769867537168";"-3.7156569423684775";"914 347 262";"";"eiboladecristal@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
4552960;"Escuela infantil municipal La Brisa";"";"";"";"METRO: Ventilla BUS: 42 , 147";"ENSEÑANZA: Educación infantil (Primer ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d02ac6aa845d1110VgnVCM1000000b205a0aRCRD";"ASTURIAS";"AVENIDA";"V";"72";"";"";"";"";"MADRID";"MADRID";"28029";"4";"ALMENARA";"6";"TETUAN";"440802";"4480530";"40.47333501609979";"-3.698367154592483";"913 449 875";"913 449 875";"eilabrisa@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
11184076;"Escuela infantil municipal La Bruja Avería - Lolo Rico";"";"";"Horario ampliado. Comedor.";"METRO: La Latina, Puerta de Toledo, Embajadores, Lavapiés BUS: 17, 18, 23, 35, 41, 60, 148, C1, M1";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9b3c5fe2a572710VgnVCM1000001d4a900aRCRD";"RODAS";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28005";"2";"EMBAJADORES";"1";"CENTRO";"440063";"4473293";"40.40809923624453";"-3.706383215058181";"914 267 061";"";"eirodas@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5336;"Escuela infantil municipal La Caracola";"";"";"Horario ampliado. Comedor.";"METRO: Begoña BUS: 66 , 124";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5dd13db5b71c010VgnVCM1000000b205a0aRCRD";"BELORADO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"441962";"4482156";"40.48807363495185";"-3.6848207707128635";"913 341 938";"";"eilacaracola@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5632722;"Escuela infantil municipal La Chulapona";"";"";"Educación de 0 a 3 años";"METRO: Alameda de Osuna  BUS: 151, 105, 112, 115";"ENSEÑANZA: Educación infantil (Primer ciclo)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=457c9b6d163b7210VgnVCM2000000c205a0aRCRD";"BAHIA DE POLLENSA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28042";"5";"CORRALEJOS";"21";"BARAJAS";"449766";"4479465";"40.464346272894424";"-3.5925288720620188";"913 122 028";"";"eilachulapona@madrid.es";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
